state/district,fullname,first,last,chamber,birthdate,age,date_took_office,time_in_congress (years),cong_days,zodiac sign,Party,percent_life_in_office,raw_life_in_congress
Wisconsin 3,Ron Kind,Ron,Kind,Representative,3/16/1963,51,1/3/1997,17,6205,Pisces,Democratic,33%,33
Oregon,Ron Wyden,Ron,Wyden,Senator,5/3/1949,64,2/6/1996,18,6570,Taurus,Democratic,28%,28
Connecticut 3,Rosa DeLauro,Rosa,DeLauro,Representative,3/2/1943,71,1/3/1991,23,8395,Pisces,Democratic,32%,32
Missouri,Roy Blunt,Roy,Blunt,Senator,1/10/1950,64,1/3/2011,3,1095,Capricorn,Republican,5%,5
Texas 15,Rubén Hinojosa,Rubén,Hinojosa,Representative,8/20/1940,73,1/3/1997,17,6205,Leo,Democratic,23%,23
New Jersey 12,"Rush D. Holt, Jr.",Rush D.,Holt,Representative,10/15/1948,65,1/3/1999,15,5475,Libra,Democratic,23%,23
California 20,Sam Farr,Sam,Farr,Representative,7/4/1941,72,6/8/1993,20,7300,Cancer,Democratic,28%,28
Missouri 6,Sam Graves,Sam,Graves,Representative,11/7/1963,50,1/3/2001,13,4745,Scorpio,Republican,26%,26
Texas 3,Sam Johnson,Sam,Johnson,Representative,10/11/1930,83,5/8/1991,22,8030,Libra,Republican,27%,27
Michigan 9,Sander M. Levin,Sander M.,Levin,Representative,9/6/1931,82,1/3/1983,31,11315,Virgo,Democratic,38%,38
Georgia 2,Sanford Bishop,Sanford,Bishop,Representative,2/4/1947,67,1/3/1993,21,7665,Aquarius,Democratic,31%,31
Georgia,Saxby Chambliss,Saxby,Chambliss,Senator,11/10/1943,70,1/3/2003,11,4015,Scorpio,Republican,16%,16
Tennessee 4,Scott DesJarlais,Scott,DesJarlais,Representative,2/21/1964,50,1/3/2011,3,1095,Pisces,Republican,6%,6
New Jersey 5,Scott Garrett,Scott,Garrett,Representative,7/9/1959,54,1/3/2003,11,4015,Cancer,Republican,20%,20
Pennsylvania 4,Scott Perry,Scott,Perry,Representative,5/27/1962,51,1/3/2013,1,365,Gemini,Republican,2%,2
California 52,Scott Peters,Scott,Peters,Representative,6/17/1958,55,1/3/2013,1,365,Gemini,Democratic,2%,2
Virginia 2,Scott Rigell,Scott,Rigell,Representative,5/28/1960,53,1/3/2011,3,1095,Gemini,Republican,6%,6
Colorado 3,Scott Tipton,Scott,Tipton,Representative,11/9/1956,57,1/3/2011,3,1095,Scorpio,Republican,5%,5
Wisconsin 7,Sean Duffy,Sean,Duffy,Representative,10/3/1971,42,1/3/2011,3,1095,Libra,Republican,7%,7
New York 18,Sean Patrick Maloney,Sean Patrick,Maloney,Representative,7/30/1966,47,1/3/2013,1,365,Leo,Democratic,2%,2
Texas 18,Sheila Jackson-Lee,Sheila,Jackson-Lee,Representative,1/12/1950,64,1/3/1995,19,6935,Capricorn,Democratic,30%,30
Rhode Island,Sheldon Whitehouse,Sheldon,Whitehouse,Senator,10/20/1955,58,1/3/2007,7,2555,Libra,Democratic,12%,12
West Virginia 2,Shelley M. Capito,Shelley M.,Capito,Representative,11/26/1953,60,1/3/2001,13,4745,Sagittarius,Republican,22%,22
Ohio,Sherrod Brown,Sherrod,Brown,Senator,11/9/1952,61,1/3/2007,7,2555,Scorpio,Democratic,11%,11
Alabama 6,Spencer Bachus,Spencer,Bachus,Representative,12/28/1947,66,1/3/1993,21,7665,Capricorn,Republican,32%,32
Maryland 5,Steny Hoyer,Steny,Hoyer,Representative,6/14/1939,74,5/19/1981,32,11680,Gemini,Democratic,43%,43
Massachusetts 8,Stephen F. Lynch,Stephen F.,Lynch,Representative,3/31/1955,59,10/16/2001,12,4380,Aries,Democratic,20%,20
Tennessee 8,Stephen Fincher,Stephen,Fincher,Representative,2/7/1973,41,1/3/2011,3,1095,Aquarius,Republican,7%,7
Ohio 1,Steve Chabot,Steve,Chabot,Representative,1/22/1953,61,1/3/2011,3,1095,Aquarius,Republican,5%,5
Tennessee 9,Steve Cohen,Steve,Cohen,Representative,5/24/1949,64,1/3/2007,7,2555,Gemini,Democratic,11%,11
Montana At-Large,Steve Daines,Steve,Daines,Representative,8/20/1962,51,1/3/2013,1,365,Leo,Republican,2%,2
New York 3,Steve Israel,Steve,Israel,Representative,5/30/1958,55,1/3/2001,13,4745,Gemini,Democratic,24%,24
Iowa 4,Steve King,Steve,King,Representative,5/28/1949,64,1/3/2003,11,4015,Gemini,Republican,17%,17
New Mexico 2,Steve Pearce,Steve,Pearce,Representative,8/24/1947,66,1/3/2011,3,1095,Virgo,Republican,5%,5
Louisiana 1,Steve Scalise,Steve,Scalise,Representative,10/6/1965,48,5/3/2008,6,2190,Libra,Republican,13%,10
Florida 2,Steve Southerland,Steve,Southerland,Representative,10/10/1965,48,1/3/2011,3,1095,Libra,Republican,6%,6
Ohio 15,Steve Stivers,Steve,Stivers,Representative,3/24/1965,49,1/3/2011,3,1095,Aries,Republican,6%,6
Texas 36,Steve Stockman,Steve,Stockman,Representative,11/14/1956,57,1/3/2013,1,365,Scorpio,Republican,2%,2
Arkansas 3,Steve Womack,Steve,Womack,Representative,2/18/1957,57,1/3/2011,3,1095,Aquarius,Republican,5%,5
Nevada 4,Steven Horsford,Steven,Horsford,Representative,4/29/1973,41,1/3/2013,1,365,Taurus,Democratic,2%,2
Mississippi 4,Steven Palazzo,Steven,Palazzo,Representative,2/21/1970,44,1/3/2011,3,1095,Pisces,Republican,7%,7
California 53,Susan A. Davis,Susan A.,Davis,Representative,4/13/1944,70,1/3/2001,13,4745,Aries,Democratic,19%,19
Indiana 5,Susan Brooks,Susan,Brooks,Representative,8/25/1960,53,1/3/2013,1,365,Virgo,Republican,2%,2
Maine,Susan Collins,Susan,Collins,Senator,12/7/1952,61,1/3/1997,17,6205,Sagittarius,Republican,28%,28
Washington 1,Suzan DelBene,Suzan,DelBene,Representative,2/17/1962,52,11/6/2012,1,365,Aquarius,Democratic,2%,2
Oregon 1,Suzanne Bonamici,Suzanne,Bonamici,Representative,10/14/1954,59,1/31/2012,2,730,Libra,Democratic,3%,3
Wisconsin,Tammy Baldwin,Tammy,Baldwin,Senator,2/11/1962,52,1/3/2013,1,365,Aquarius,Democratic,2%,2
Illinois 8,Tammy Duckworth,Tammy,Duckworth,Representative,3/12/1968,46,1/3/2013,1,365,Pisces,Democratic,2%,2
Texas,Ted Cruz,Ted,Cruz,Senator,12/22/1970,43,1/3/2013,1,365,Capricorn,Republican,2%,2
Florida 21,Ted Deutch,Ted,Deutch,Representative,5/7/1966,47,4/13/2010,4,1460,Taurus,Democratic,9%,9
Texas 2,Ted Poe,Ted,Poe,Representative,9/10/1948,65,1/3/2005,9,3285,Virgo,Republican,14%,14
Florida 3,Ted Yoho,Ted,Yoho,Representative,4/13/1955,59,1/3/2013,1,365,Aries,Republican,2%,2
Alabama 7,Terri Sewell,Terri,Sewell,Representative,1/1/1965,49,1/3/2011,3,1095,Capricorn,Democratic,6%,6
Mississippi,Thad Cochran,Thad,Cochran,Senator,12/7/1937,76,12/27/1978,35,12775,Sagittarius,Republican,46%,46
Kentucky 4,Thomas Massie,Thomas,Massie,Representative,1/13/1971,43,11/6/2012,1,365,Capricorn,Republican,2%,2
New York 1,Tim Bishop,Tim,Bishop,Representative,6/1/1950,63,1/3/2003,11,4015,Gemini,Democratic,17%,17
Kansas 1,Tim Huelskamp,Tim,Huelskamp,Representative,11/11/1968,45,1/3/2011,3,1095,Scorpio,Republican,7%,7
South Dakota,Tim Johnson,Tim,Johnson,Senator,12/28/1946,67,1/3/1997,17,6205,Capricorn,Democratic,25%,25
Virginia,Tim Kaine,Tim,Kaine,Senator,2/26/1958,56,1/3/2013,1,365,Pisces,Democratic,2%,2
Ohio 13,Tim Ryan,Tim,Ryan,Representative,7/16/1973,40,1/3/2003,11,4015,Cancer,Democratic,28%,28
South Carolina,Tim Scott,Tim,Scott,Senator,9/19/1965,48,1/2/2013,1,365,Virgo,Republican,2%,2
Michigan 7,Tim Walberg,Tim,Walberg,Representative,4/12/1951,63,1/3/2011,3,1095,Aries,Republican,5%,5
Minnesota 1,Tim Walz,Tim,Walz,Representative,4/6/1964,50,1/3/2007,7,2555,Aries,Democratic,14%,14
Pennsylvania 18,Timothy F. Murphy,Timothy F.,Murphy,Representative,9/11/1952,61,1/3/2003,11,4015,Virgo,Democratic,18%,18
Arkansas 2,Timothy Griffin,Timothy,Griffin,Representative,8/21/1968,45,1/3/2011,3,1095,Leo,Republican,7%,7
Indiana 4,Todd Rokita,Todd,Rokita,Representative,2/9/1970,44,1/3/2011,3,1095,Aquarius,Republican,7%,7
Indiana 9,Todd Young,Todd,Young,Representative,8/24/1972,41,1/3/2011,3,1095,Virgo,Republican,7%,7
Delaware,Tom Carper,Tom,Carper,Senator,1/23/1947,67,1/3/2001,13,4745,Aquarius,Democratic,19%,19
Oklahoma,Tom Coburn,Tom,Coburn,Senator,3/14/1948,66,1/3/2005,9,3285,Pisces,Republican,14%,14
Oklahoma 4,Tom Cole,Tom,Cole,Representative,4/28/1949,65,1/3/2003,11,4015,Taurus,Republican,17%,17
Arkansas 4,Tom Cotton,Tom,Cotton,Representative,5/13/1977,36,1/3/2013,1,365,Taurus,Republican,3%,3
Georgia 14,Tom Graves,Tom,Graves,Representative,2/3/1970,44,6/8/2010,3,1095,Aquarius,Republican,7%,7
Iowa,Tom Harkin,Tom,Harkin,Senator,11/19/1939,74,1/3/1985,29,10585,Scorpio,Democratic,39%,39
Florida 17,Tom J. Rooney,Tom J.,Rooney,Representative,11/21/1970,43,1/3/2009,5,1825,Scorpio,Republican,12%,12
Iowa 3,Tom Latham,Tom,Latham,Representative,7/14/1948,65,1/3/1995,19,6935,Cancer,Republican,29%,29
Pennsylvania 10,Tom Marino,Tom,Marino,Representative,8/13/1952,61,1/3/2011,3,1095,Leo,Republican,5%,5
California 4,Tom McClintock,Tom,McClintock,Representative,7/10/1956,57,1/3/2009,5,1825,Cancer,Republican,9%,9
Wisconsin 6,Tom Petri,Tom,Petri,Representative,5/28/1940,73,4/3/1979,35,12775,Gemini,Republican,48%,48
Georgia 6,Tom Price,Tom,Price,Representative,10/8/1954,59,1/3/2005,9,3285,Libra,Republican,15%,15
New York 23,Tom Reed,Tom,Reed,Representative,11/18/1971,42,11/2/2010,3,1095,Scorpio,Republican,7%,7
South Carolina 7,Tom Rice,Tom,Rice,Representative,8/4/1957,56,1/3/2013,1,365,Leo,Republican,2%,2
New Mexico,Tom Udall,Tom,Udall,Senator,5/18/1948,65,1/3/2009,5,1825,Taurus,Democratic,8%,8
California 29,Tony Cardenas,Tony,Cardenas,Representative,3/31/1963,51,1/3/2013,1,365,Aries,Democratic,2%,2
Arizona 8,Trent Franks,Trent,Franks,Representative,6/19/1957,56,1/3/2003,11,4015,Gemini,Republican,20%,20
South Carolina 4,Trey Gowdy,Trey,Gowdy,Representative,8/22/1964,49,1/3/2011,3,1095,Leo,Republican,6%,6
Hawaii 2,Tulsi Gabbard,Tulsi,Gabbard,Representative,4/12/1981,33,1/3/2013,1,365,Aries,Democratic,3%,3
Louisiana 5,Vance McAllister,Vance,McAllister,Representative,1/7/1974,40,11/16/2013,0,0,Capricorn,Republican,0%,0
Florida 16,Vern Buchanan,Vern,Buchanan,Representative,5/8/1951,62,1/3/2007,7,2555,Taurus,Republican,11%,11
Missouri 4,Vicky Hartzler,Vicky,Hartzler,Representative,10/13/1960,53,1/3/2011,3,1095,Libra,Republican,6%,6
North Carolina 5,Virginia Foxx,Virginia,Foxx,Representative,6/29/1943,70,1/3/2005,9,3285,Cancer,Republican,13%,13
North Carolina 3,Walter B. Jones,Walter B.,Jones,Representative,2/10/1943,71,1/3/1995,19,6935,Aquarius,Republican,27%,27
Illinois 12,William Enyart,William,Enyart,Representative,9/22/1949,64,1/3/2013,1,365,Virgo,Democratic,2%,2
Missouri 1,"William L. Clay, Jr.",William L.,"Clay, Jr.",Representative,7/27/1956,57,1/3/2001,13,4745,Leo,Democratic,23%,23
Massachusetts 9,William R. Keating,William R.,Keating,Representative,9/6/1952,61,1/3/2011,3,1095,Virgo,Democratic,5%,5
California 34,Xavier Becerra,Xavier,Becerra,Representative,1/26/1958,56,1/3/1993,21,7665,Aquarius,Democratic,38%,38
New York 9,Yvette Clarke,Yvette,Clarke,Representative,11/21/1964,49,1/3/2007,7,2555,Scorpio,Democratic,14%,14
California 19,Zoe Lofgren,Zoe,Lofgren,Representative,12/21/1947,66,1/3/1995,19,6935,Sagittarius,Democratic,29%,29
